user_id;date;category;screen_time;day_of_week;day_name
1051;2024-01-01 00:00;Utilities;24,53;1;Monday
1088;2024-01-01 00:43;Utilities;19,78;1;Monday
1052;2024-01-01 01:27;Entertainment;32,03;1;Monday
1028;2024-01-01 02:11;Utilities;19,1;1;Monday
1034;2024-01-01 02:54;Social;25,19;1;Monday
1064;2024-01-01 03:38;Utilities;85,15;1;Monday
1063;2024-01-01 04:22;Social;4,37;1;Monday
1095;2024-01-01 05:05;Utilities;57,35;1;Monday
1060;2024-01-01 05:49;Social;58,42;1;Monday
1016;2024-01-01 06:33;Social;5,08;1;Monday
1060;2024-01-01 07:16;Social;36,16;1;Monday
1044;2024-01-01 08:00;Entertainment;6,18;1;Monday
1065;2024-01-01 08:44;Social;31,61;1;Monday
1059;2024-01-01 09:28;Social;110,47;1;Monday
1041;2024-01-01 10:11;Entertainment;4,1;1;Monday
1079;2024-01-01 10:55;Productivity;5,97;1;Monday
1087;2024-01-01 11:39;Utilities;19,5;1;Monday
1003;2024-01-01 12:22;Productivity;33,26;1;Monday
1041;2024-01-01 13:06;Social;13,79;1;Monday
1022;2024-01-01 13:50;Utilities;21,07;1;Monday
1093;2024-01-01 14:33;Utilities;9,53;1;Monday
1069;2024-01-01 15:17;Social;21,09;1;Monday
1056;2024-01-01 16:01;Productivity;33,38;1;Monday
1014;2024-01-01 16:44;Entertainment;9,63;1;Monday
1019;2024-01-01 17:28;Social;84,67;1;Monday
1027;2024-01-01 18:12;Productivity;54,04;1;Monday
1028;2024-01-01 18:56;Utilities;12,75;1;Monday
1048;2024-01-01 19:39;Productivity;6,41;1;Monday
1004;2024-01-01 20:23;Entertainment;5,96;1;Monday
1041;2024-01-01 21:07;Social;57,81;1;Monday
1009;2024-01-01 21:50;Social;8,23;1;Monday
1093;2024-01-01 22:34;Utilities;0,36;1;Monday
1033;2024-01-01 23:18;Social;16,06;1;Monday
1023;2024-01-02 00:01;Entertainment;17,65;2;Tuesday
1061;2024-01-02 00:45;Entertainment;29,27;2;Tuesday
1049;2024-01-02 01:29;Utilities;49,52;2;Tuesday
1083;2024-01-02 02:13;Social;20,94;2;Tuesday
1055;2024-01-02 02:56;Productivity;22,81;2;Tuesday
1027;2024-01-02 03:40;Entertainment;3,36;2;Tuesday
1012;2024-01-02 04:24;Utilities;36,4;2;Tuesday
1054;2024-01-02 05:07;Entertainment;2,11;2;Tuesday
1021;2024-01-02 05:51;Utilities;21,12;2;Tuesday
1036;2024-01-02 06:35;Entertainment;11,53;2;Tuesday
1085;2024-01-02 07:18;Entertainment;13,1;2;Tuesday
1017;2024-01-02 08:02;Utilities;110,96;2;Tuesday
1000;2024-01-02 08:46;Social;13,04;2;Tuesday
1032;2024-01-02 09:29;Social;17,62;2;Tuesday
1016;2024-01-02 10:13;Entertainment;22,13;2;Tuesday
1035;2024-01-02 10:57;Entertainment;11,08;2;Tuesday
1059;2024-01-02 11:41;Entertainment;7;2;Tuesday
1031;2024-01-02 12:24;Utilities;12,12;2;Tuesday
1076;2024-01-02 13:08;Utilities;3,34;2;Tuesday
1069;2024-01-02 13:52;Social;30,81;2;Tuesday
1013;2024-01-02 14:35;Social;0,64;2;Tuesday
1080;2024-01-02 15:19;Utilities;3,68;2;Tuesday
1054;2024-01-02 16:03;Productivity;38;2;Tuesday
